1	1	81
1	2	85
1	3	88
1	4	70
2	2	90
2	3	80
2	4	71
2	5	60
3	1	82
3	3	90
3	5	100
4	1	80
4	2	92
4	4	91
4	5	70
5	1	70
5	2	92
5	3	99
5	6	87
6	1	72
6	2	62
6	3	100
6	4	59
6	5	60
6	6	98
7	3	68
7	4	91
7	5	94
7	6	78
8	1	98
8	3	89
8	6	91
9	2	81
9	4	89
9	6	100
10	2	98
10	5	90
10	6	80
11	1	81
11	2	91
11	3	81
11	4	86
12	1	81
12	3	78
12	4	85
12	6	98
13	1	98
13	2	58
13	4	88
13	5	93
14	1	91
14	2	100
14	4	98
15	1	91
15	3	59
15	4	100
15	6	95
16	1	92
16	2	99
16	4	82
17	4	82
17	5	100
17	6	58
18	1	95
18	2	100
18	3	67
18	4	78
19	1	77
19	2	90
19	3	91
19	4	67
19	5	87
20	1	66
20	2	99
20	5	93
21	2	93
21	5	91
21	6	99
22	3	69
22	4	93
22	5	82
22	6	100
